2023-07-11 15:01:36,795 INFO     Collection started at: 11/07/2023 15:01:36

2023-07-11 15:05:00,063 DEBUG    received the following: {"EAST_AGG_P_profiler_report.log1": {"resourceApp": "", "rolled": false, "startTimeStamp": "071123-2155", "resourceNode": "EAST_AGG_P", "metrics": {"EAST_AGG_P:Impact:AppIducTime": {"value": 0.005215, "resetCounter": true}, "EAST_AGG_P::TotalIducTime": {"value": 0.007157, "resetCounter": true}, "EAST_AGG_P:GATEWAY:AppIducTime": {"value": 0.001339, "resetCounter": true}, "EAST_AGG_P:AUTH-Impact:AppIducTime": {"value": 0.0, "resetCounter": true}, "EAST_AGG_P:WEBTOP:AppIducTime": {"value": 0.000602, "resetCounter": true}}, "logFileFullPath": "/opt/IBM/tivoli/netcool/omnibus/log/EAST_AGG_P_profiler_report.log1", "inode": 269311317, "endTimeStamp": "071123-2200", "logFileType": "profilestats"}}
2023-07-11 15:05:00,063 DEBUG    Opening file: /home/ncoadmin/csv//netcoolStats__071123-2200__071123-2205.csv
2023-07-11 15:05:00,063 DEBUG    Need to write line for:EAST_AGG_P:Impact:AppIducTime
2023-07-11 15:05:00,064 DEBUG    Need to write line for:EAST_AGG_P::TotalIducTime
2023-07-11 15:05:00,064 DEBUG    Need to write line for:EAST_AGG_P:GATEWAY:AppIducTime
2023-07-11 15:05:00,064 DEBUG    Need to write line for:EAST_AGG_P:AUTH-Impact:AppIducTime
2023-07-11 15:05:00,064 DEBUG    Need to write line for:EAST_AGG_P:WEBTOP:AppIducTime
2023-07-11 15:05:00,093 DEBUG    received the following: {"NCIPRIMARY_omnibuseventreader.log": {"resourceApp": "omnibuseventreader", "rolled": false, "startTimeStamp": "071123-2155", "resourceNode": "NCIPRIMARY", "metrics": {"NCIPRIMARY:omnibuseventreader:Updates": {"value": 0, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:Time": {"value": 0, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:Memory": {"value": 223675007, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:NumReaderBuffer": {"value": 3, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:OSQueue": {"value": 0, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:NewEventsReadSec": {"value": 0, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:NewRead": {"value": 0, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:Read": {"value": 0, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:ReadBuffer": {"value": 0, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:EventsReadSec": {"value": 0, "resetCounter": true}}, "logFileFullPath": "/opt/IBM/tivoli/impact/logs/NCIPRIMARY_omnibuseventreader.log", "inode": 269307369, "endTimeStamp": "071123-2200", "logFileType": "eventreader"}, "NCIPRIMARY_eventprocessor.log": {"resourceApp": "eventprocessor", "rolled": false, "startTimeStamp": "071123-2155", "resourceNode": "NCIPRIMARY", "metrics": {"NCIPRIMARY:eventprocessor:ProcessingThreads": {"value": 9, "resetCounter": true}, "NCIPRIMARY:eventprocessor:DeltaQueue": {"value": 0, "resetCounter": true}, "NCIPRIMARY:eventprocessor:CurrentQueueSize": {"value": 0, "resetCounter": true}, "NCIPRIMARY:eventprocessor:EventRatePerMinute": {"value": 0, "resetCounter": true}}, "logFileFullPath": "/opt/IBM/tivoli/impact/logs/NCIPRIMARY_eventprocessor.log", "inode": 272085590, "endTimeStamp": "071123-2200", "logFileType": "eventprocessor"}}
2023-07-11 15:05:00,093 DEBUG    Opening file: /home/ncoadmin/csv//netcoolStats__071123-2200__071123-2205.csv
2023-07-11 15:05:00,093 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:Updates
2023-07-11 15:05:00,093 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:Time
2023-07-11 15:05:00,094 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:Memory
2023-07-11 15:05:00,094 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:NumReaderBuffer
2023-07-11 15:05:00,094 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:ReadBuffer
2023-07-11 15:05:00,094 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:NewEventsReadSec
2023-07-11 15:05:00,094 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:NewRead
2023-07-11 15:05:00,094 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:Read
2023-07-11 15:05:00,094 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:OSQueue
2023-07-11 15:05:00,094 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:EventsReadSec
2023-07-11 15:05:00,094 DEBUG    Opening file: /home/ncoadmin/csv//netcoolStats__071123-2200__071123-2205.csv
2023-07-11 15:05:00,094 DEBUG    Need to write line for:NCIPRIMARY:eventprocessor:EventRatePerMinute
2023-07-11 15:05:00,095 DEBUG    Need to write line for:NCIPRIMARY:eventprocessor:DeltaQueue
2023-07-11 15:05:00,095 DEBUG    Need to write line for:NCIPRIMARY:eventprocessor:CurrentQueueSize
2023-07-11 15:05:00,095 DEBUG    Need to write line for:NCIPRIMARY:eventprocessor:ProcessingThreads
2023-07-11 15:10:00,029 DEBUG    received the following: {"EAST_AGG_P_profiler_report.log1": {"resourceApp": "", "rolled": false, "startTimeStamp": "071123-2155", "resourceNode": "EAST_AGG_P", "metrics": {"EAST_AGG_P:Impact:AppIducTime": {"value": 0.00532, "resetCounter": true}, "EAST_AGG_P::TotalIducTime": {"value": 0.007245, "resetCounter": true}, "EAST_AGG_P:GATEWAY:AppIducTime": {"value": 0.001364, "resetCounter": true}, "EAST_AGG_P:AUTH-Impact:AppIducTime": {"value": 0.0, "resetCounter": true}, "EAST_AGG_P:WEBTOP:AppIducTime": {"value": 0.000561, "resetCounter": true}}, "logFileFullPath": "/opt/IBM/tivoli/netcool/omnibus/log/EAST_AGG_P_profiler_report.log1", "inode": 269311317, "endTimeStamp": "071123-2200", "logFileType": "profilestats"}}
2023-07-11 15:10:00,030 DEBUG    Opening file: /home/ncoadmin/csv//netcoolStats__071123-2205__071123-2210.csv
2023-07-11 15:10:00,031 DEBUG    Need to write line for:EAST_AGG_P:Impact:AppIducTime
2023-07-11 15:10:00,031 DEBUG    Need to write line for:EAST_AGG_P::TotalIducTime
2023-07-11 15:10:00,031 DEBUG    Need to write line for:EAST_AGG_P:GATEWAY:AppIducTime
2023-07-11 15:10:00,031 DEBUG    Need to write line for:EAST_AGG_P:AUTH-Impact:AppIducTime
2023-07-11 15:10:00,031 DEBUG    Need to write line for:EAST_AGG_P:WEBTOP:AppIducTime
2023-07-11 15:10:00,089 DEBUG    received the following: {"NCIPRIMARY_omnibuseventreader.log": {"resourceApp": "omnibuseventreader", "rolled": false, "startTimeStamp": "071123-2155", "resourceNode": "NCIPRIMARY", "metrics": {"NCIPRIMARY:omnibuseventreader:Updates": {"value": 0, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:Time": {"value": 0, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:Memory": {"value": 202337611, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:NumReaderBuffer": {"value": 3, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:OSQueue": {"value": 0, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:NewEventsReadSec": {"value": 0, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:NewRead": {"value": 0, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:Read": {"value": 0, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:ReadBuffer": {"value": 0, "resetCounter": true}, "NCIPRIMARY:omnibuseventreader:EventsReadSec": {"value": 0, "resetCounter": true}}, "logFileFullPath": "/opt/IBM/tivoli/impact/logs/NCIPRIMARY_omnibuseventreader.log", "inode": 269307369, "endTimeStamp": "071123-2200", "logFileType": "eventreader"}, "NCIPRIMARY_eventprocessor.log": {"resourceApp": "eventprocessor", "rolled": false, "startTimeStamp": "071123-2155", "resourceNode": "NCIPRIMARY", "metrics": {"NCIPRIMARY:eventprocessor:ProcessingThreads": {"value": 9, "resetCounter": true}, "NCIPRIMARY:eventprocessor:DeltaQueue": {"value": 0, "resetCounter": true}, "NCIPRIMARY:eventprocessor:CurrentQueueSize": {"value": 0, "resetCounter": true}, "NCIPRIMARY:eventprocessor:EventRatePerMinute": {"value": 0, "resetCounter": true}}, "logFileFullPath": "/opt/IBM/tivoli/impact/logs/NCIPRIMARY_eventprocessor.log", "inode": 272085590, "endTimeStamp": "071123-2200", "logFileType": "eventprocessor"}}
2023-07-11 15:10:00,090 DEBUG    Opening file: /home/ncoadmin/csv//netcoolStats__071123-2205__071123-2210.csv
2023-07-11 15:10:00,090 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:Updates
2023-07-11 15:10:00,090 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:Time
2023-07-11 15:10:00,090 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:Memory
2023-07-11 15:10:00,090 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:NumReaderBuffer
2023-07-11 15:10:00,091 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:ReadBuffer
2023-07-11 15:10:00,091 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:NewEventsReadSec
2023-07-11 15:10:00,091 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:NewRead
2023-07-11 15:10:00,091 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:Read
2023-07-11 15:10:00,091 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:OSQueue
2023-07-11 15:10:00,091 DEBUG    Need to write line for:NCIPRIMARY:omnibuseventreader:EventsReadSec
2023-07-11 15:10:00,091 DEBUG    Opening file: /home/ncoadmin/csv//netcoolStats__071123-2205__071123-2210.csv
2023-07-11 15:10:00,091 DEBUG    Need to write line for:NCIPRIMARY:eventprocessor:EventRatePerMinute
2023-07-11 15:10:00,091 DEBUG    Need to write line for:NCIPRIMARY:eventprocessor:DeltaQueue
2023-07-11 15:10:00,091 DEBUG    Need to write line for:NCIPRIMARY:eventprocessor:CurrentQueueSize
2023-07-11 15:10:00,091 DEBUG    Need to write line for:NCIPRIMARY:eventprocessor:ProcessingThreads
